reaction	linear_coefficient
MAR04487	[np.float64(6.570980090049546e-05)]
MAR04488	[np.float64(6.570980090049546e-05)]
MAR04489	[np.float64(6.570980090049546e-05)]
MAR04492	[np.float64(6.570980090049546e-05)]
MAR04493	[np.float64(6.570980090049546e-05)]
MAR04495	[np.float64(6.570980090049546e-05)]
MAR04496	[np.float64(6.570980090049546e-05)]
MAR04518	[0.004071677923888144]
MAR04519	[np.float64(6.570980090049546e-05)]
MAR04520	[np.float64(6.570980090049546e-05)]
MAR04573	[2.911450790225425e-05]
MAR04574	[3.2777341171678e-05]
MAR04600	[np.float64(6.570980090049546e-05)]
MAR04602	[np.float64(6.570980090049546e-05)]
MAR04603	[3.2777341171678e-05]
MAR04611	[2.911450790225425e-05]
MAR04612	[2.911450790225425e-05]
MAR04614	[2.911450790225425e-05]
MAR04615	[2.911450790225425e-05]
MAR04617	[2.911450790225425e-05]
MAR04618	[2.911450790225425e-05]
MAR04619	[2.911450790225425e-05]
MAR04621	[2.911450790225425e-05]
MAR04632	[np.float64(6.570980090049546e-05)]
MAR04646	[np.float64(6.570980090049546e-05)]
MAR04648	[np.float64(6.570980090049546e-05)]
MAR04649	[np.float64(6.570980090049546e-05)]
MAR04650	[np.float64(6.570980090049546e-05)]
MAR04651	[3.2777341171678e-05]
MAR04663	[3.2777341171678e-05]
MAR04664	[5.5199246185587674e-05]
MAR04694	[np.float64(6.570980090049546e-05)]
MAR04695	[3.2777341171678e-05]
MAR04705	[np.float64(6.570980090049546e-05)]
MAR04709	[3.2777341171678e-05]
MAR04799	[np.float64(6.570980090049546e-05)]
MAR04802	[np.float64(6.570980090049546e-05)]
MAR04804	[np.float64(6.570980090049546e-05)]
MAR04808	[np.float64(6.570980090049546e-05)]
MAR04810	[np.float64(6.570980090049546e-05)]
MAR04812	[np.float64(6.570980090049546e-05)]
MAR04814	[3.9141704171673964e-05]
MAR05301	[np.float64(6.570980090049546e-05)]
MAR05353	[3.952935067578193e-05]
MAR06601	[0.009117273512233697]
MAR06602	[2.911450790225425e-05]
MAR06603	[2.911450790225425e-05]
MAR06605	[7.735074205726712e-05]
MAR06606	[7.735074205726712e-05]
MAR06607	[7.735074205726712e-05]
MAR06609	[7.735074205726712e-05]
MAR06610	[7.735074205726712e-05]
MAR06611	[7.735074205726712e-05]
MAR07144	[np.float64(6.570980090049546e-05)]
MAR08755	[np.float64(6.570980090049546e-05)]
MAR09797	[7.735074205726712e-05]
MAR04016	[np.float64(6.570980090049546e-05)]
MAR04018	[np.float64(6.570980090049546e-05)]
MAR04044	[np.float64(6.570980090049546e-05)]
MAR04291	[np.float64(6.570980090049546e-05)]
MAR04420	[np.float64(6.570980090049546e-05)]
MAR04570	[np.float64(6.570980090049546e-05)]
MAR04572	[np.float64(6.570980090049546e-05)]
MAR04006	[np.float64(6.570980090049546e-05)]
MAR04028	[np.float64(6.570980090049546e-05)]
MAR04030	[np.float64(6.570980090049546e-05)]
MAR04670	[np.float64(6.570980090049546e-05)]
MAR04673	[np.float64(6.570980090049546e-05)]
MAR04675	[np.float64(6.570980090049546e-05)]
MAR06614	[np.float64(6.570980090049546e-05)]
MAR06615	[np.float64(6.570980090049546e-05)]
MAR06616	[np.float64(6.570980090049546e-05)]
MAR04635	[np.float64(6.570980090049546e-05)]
MAR03793	[0.009117273512233697]
MAR03931	[np.float64(6.570980090049546e-05)]
MAR03969	[np.float64(6.570980090049546e-05)]
MAR03970	[np.float64(6.570980090049546e-05)]
MAR04008	[np.float64(6.570980090049546e-05)]
MAR04032	[np.float64(6.570980090049546e-05)]
MAR04034	[np.float64(6.570980090049546e-05)]
MAR04036	[np.float64(6.570980090049546e-05)]
MAR04050	[np.float64(6.570980090049546e-05)]
MAR04056	[np.float64(6.570980090049546e-05)]
MAR04059	[np.float64(6.570980090049546e-05)]
MAR04060	[np.float64(6.570980090049546e-05)]
MAR04127	[np.float64(6.570980090049546e-05)]
MAR04177	[np.float64(6.570980090049546e-05)]
MAR04179	[np.float64(6.570980090049546e-05)]
MAR04182	[np.float64(6.570980090049546e-05)]
MAR04183	[np.float64(6.570980090049546e-05)]
MAR04192	[np.float64(6.570980090049546e-05)]
MAR04194	[np.float64(6.570980090049546e-05)]
MAR04210	[2.911450790225425e-05]
MAR04211	[3.347915755634574e-05]
MAR04343	[np.float64(6.570980090049546e-05)]
MAR04345	[0.004071677923888144]
MAR04346	[np.float64(6.570980090049546e-05)]
MAR04470	[0.004071677923888144]
MAR04471	[0.004071677923888144]
MAR04472	[0.004071677923888144]
MAR04484	[np.float64(6.570980090049546e-05)]
MAR04485	[np.float64(6.570980090049546e-05)]
MAR04510	[np.float64(6.570980090049546e-05)]
MAR04512	[np.float64(6.570980090049546e-05)]
MAR04513	[np.float64(6.570980090049546e-05)]
MAR04514	[2.958506233833173e-05]
MAR04577	[np.float64(6.570980090049546e-05)]
MAR04579	[5.594547666775293e-05]
MAR04580	[2.958506233833173e-05]
MAR04608	[np.float64(6.570980090049546e-05)]
MAR04575	[np.float64(6.570980090049546e-05)]
MAR04637	[np.float64(6.570980090049546e-05)]
MAR04642	[np.float64(6.570980090049546e-05)]
MAR04643	[3.347915755634574e-05]
MAR04644	[np.float64(6.570980090049546e-05)]
MAR04672	[7.735074205726712e-05]
MAR04676	[np.float64(6.570980090049546e-05)]
MAR04736	[0.009117273512233697]
MAR04819	[0.007336267456068411]
MAR05299	[np.float64(6.570980090049546e-05)]
MAR05352	[np.float64(6.570980090049546e-05)]
MAR05415	[2.911450790225425e-05]
MAR05416	[2.911450790225425e-05]
MAR05417	[np.float64(6.570980090049546e-05)]
MAR06612	[np.float64(6.570980090049546e-05)]
MAR06613	[np.float64(6.570980090049546e-05)]
MAR06621	[2.911450790225425e-05]
MAR06622	[2.911450790225425e-05]
MAR06623	[2.9340507722295224e-05]
MAR06624	[np.float64(6.570980090049546e-05)]
MAR06627	[2.911450790225425e-05]
MAR07744	[np.float64(6.570980090049546e-05)]
MAR08072	[7.735074205726712e-05]
MAR08637	[7.735074205726712e-05]
MAR03965	[np.float64(6.570980090049546e-05)]
MAR03966	[3.347915755634574e-05]
MAR03967	[np.float64(6.570980090049546e-05)]
MAR03968	[np.float64(6.570980090049546e-05)]
MAR03999	[np.float64(6.570980090049546e-05)]
MAR04024	[np.float64(6.570980090049546e-05)]
MAR04026	[0.004311175785818288]
MAR04054	[2.9340507722295224e-05]
MAR04061	[np.float64(6.570980090049546e-05)]
MAR04083	[np.float64(6.570980090049546e-05)]
MAR04136	[2.911450790225425e-05]
MAR04180	[np.float64(6.570980090049546e-05)]
MAR04185	[np.float64(6.570980090049546e-05)]
MAR04186	[np.float64(6.570980090049546e-05)]
MAR04342	[np.float64(6.570980090049546e-05)]
MAR04344	[7.735074205726712e-05]
MAR04483	[np.float64(6.570980090049546e-05)]
MAR04507	[np.float64(6.570980090049546e-05)]
MAR04516	[3.2095163316830413e-05]
MAR04601	[np.float64(6.570980090049546e-05)]
MAR04633	[np.float64(6.570980090049546e-05)]
MAR04640	[np.float64(6.570980090049546e-05)]
MAR04641	[2.9340507722295224e-05]
MAR04680	[5.594547666775293e-05]
MAR04806	[np.float64(6.570980090049546e-05)]
MAR05394	[7.735074205726712e-05]
MAR06625	[np.float64(6.570980090049546e-05)]
MAR06626	[np.float64(6.570980090049546e-05)]
MAR07160	[2.911450790225425e-05]
MAR07161	[2.9384871977512807e-05]
MAR07162	[2.9384871977512807e-05]
MAR07163	[np.float64(6.570980090049546e-05)]
MAR07164	[np.float64(6.570980090049546e-05)]
MAR07713	[np.float64(6.570980090049546e-05)]
MAR07716	[np.float64(6.570980090049546e-05)]
MAR07717	[np.float64(6.570980090049546e-05)]
MAR07721	[np.float64(6.570980090049546e-05)]
MAR07725	[np.float64(6.570980090049546e-05)]
MAR07728	[np.float64(6.570980090049546e-05)]
MAR07800	[0.009117273512233697]
MAR07801	[np.float64(6.570980090049546e-05)]
MAR07802	[0.009117273512233697]
MAR07863	[np.float64(6.570980090049546e-05)]
MAR07864	[np.float64(6.570980090049546e-05)]
MAR07865	[np.float64(6.570980090049546e-05)]
MAR07866	[np.float64(6.570980090049546e-05)]
MAR07867	[np.float64(6.570980090049546e-05)]
MAR07868	[np.float64(6.570980090049546e-05)]
