reaction	linear_coefficient
MAR04002	[np.float64(9.858754595081572e-05)]
MAR04004	[np.float64(9.858754595081572e-05)]
MAR04010	[3.728206335263105e-05]
MAR04081	[3.728206335263105e-05]
MAR04082	[3.728206335263105e-05]
MAR04012	[np.float64(9.858754595081572e-05)]
MAR04014	[np.float64(9.858754595081572e-05)]
MAR04020	[5.1849070780614454e-05]
MAR04022	[np.float64(9.858754595081572e-05)]
MAR04038	[7.357392500714337e-05]
MAR04040	[3.728206335263105e-05]
MAR04042	[np.float64(9.858754595081572e-05)]
MAR04046	[np.float64(9.858754595081572e-05)]
MAR04048	[np.float64(9.858754595081572e-05)]
MAR04080	[np.float64(9.858754595081572e-05)]
MAR04085	[np.float64(9.858754595081572e-05)]
MAR04086	[np.float64(9.858754595081572e-05)]
MAR04134	[7.814251217446359e-05]
MAR04135	[5.1849070780614454e-05]
MAR04168	[np.float64(9.858754595081572e-05)]
MAR04171	[3.728206335263105e-05]
MAR04290	[0.005165007879767774]
MAR04406	[np.float64(9.858754595081572e-05)]
MAR04412	[np.float64(9.858754595081572e-05)]
MAR04417	[3.728206335263105e-05]
MAR04418	[np.float64(9.858754595081572e-05)]
MAR04419	[np.float64(9.858754595081572e-05)]
MAR04421	[3.728206335263105e-05]
MAR04449	[3.728206335263105e-05]
MAR04450	[3.728206335263105e-05]
MAR04451	[np.float64(9.858754595081572e-05)]
MAR04452	[np.float64(9.858754595081572e-05)]
MAR04453	[np.float64(9.858754595081572e-05)]
MAR04480	[np.float64(9.858754595081572e-05)]
MAR04481	[np.float64(9.858754595081572e-05)]
MAR04482	[np.float64(9.858754595081572e-05)]
MAR04486	[3.728206335263105e-05]
MAR04487	[3.728206335263105e-05]
MAR04488	[3.728206335263105e-05]
MAR04489	[3.728206335263105e-05]
MAR04492	[3.728206335263105e-05]
MAR04493	[3.728206335263105e-05]
MAR04495	[3.728206335263105e-05]
MAR04496	[3.728206335263105e-05]
MAR04518	[0.00762995585464111]
MAR04519	[np.float64(9.858754595081572e-05)]
MAR04520	[np.float64(9.858754595081572e-05)]
MAR04573	[3.728206335263105e-05]
MAR04574	[np.float64(9.858754595081572e-05)]
MAR04600	[np.float64(9.858754595081572e-05)]
MAR04602	[3.728206335263105e-05]
MAR04603	[np.float64(9.858754595081572e-05)]
MAR04611	[3.728206335263105e-05]
MAR04612	[3.728206335263105e-05]
MAR04614	[3.728206335263105e-05]
MAR04615	[3.728206335263105e-05]
MAR04617	[3.728206335263105e-05]
MAR04618	[3.728206335263105e-05]
MAR04619	[3.728206335263105e-05]
MAR04621	[3.728206335263105e-05]
MAR04632	[3.728206335263105e-05]
MAR04646	[np.float64(9.858754595081572e-05)]
MAR04648	[np.float64(9.858754595081572e-05)]
MAR04649	[np.float64(9.858754595081572e-05)]
MAR04650	[np.float64(9.858754595081572e-05)]
MAR04651	[np.float64(9.858754595081572e-05)]
MAR04663	[np.float64(9.858754595081572e-05)]
MAR04664	[np.float64(9.858754595081572e-05)]
MAR04694	[np.float64(9.858754595081572e-05)]
MAR04695	[np.float64(9.858754595081572e-05)]
MAR04705	[3.728206335263105e-05]
MAR04709	[np.float64(9.858754595081572e-05)]
MAR04799	[np.float64(9.858754595081572e-05)]
MAR04802	[np.float64(9.858754595081572e-05)]
MAR04804	[np.float64(9.858754595081572e-05)]
MAR04808	[np.float64(9.858754595081572e-05)]
MAR04810	[np.float64(9.858754595081572e-05)]
MAR04812	[np.float64(9.858754595081572e-05)]
MAR04814	[7.357392500714337e-05]
MAR05301	[np.float64(9.858754595081572e-05)]
MAR05353	[5.1849070780614454e-05]
MAR06601	[0.006616541921414123]
MAR06602	[3.728206335263105e-05]
MAR06603	[3.728206335263105e-05]
MAR06605	[np.float64(9.858754595081572e-05)]
MAR06606	[np.float64(9.858754595081572e-05)]
MAR06607	[np.float64(9.858754595081572e-05)]
MAR06609	[np.float64(9.858754595081572e-05)]
MAR06610	[np.float64(9.858754595081572e-05)]
MAR06611	[np.float64(9.858754595081572e-05)]
MAR07144	[np.float64(9.858754595081572e-05)]
MAR08755	[np.float64(9.858754595081572e-05)]
MAR09797	[np.float64(9.858754595081572e-05)]
MAR04016	[5.453322464414043e-05]
MAR04018	[5.453322464414043e-05]
MAR04044	[5.453322464414043e-05]
MAR04291	[5.453322464414043e-05]
MAR04420	[5.453322464414043e-05]
MAR04570	[5.453322464414043e-05]
MAR04572	[5.453322464414043e-05]
MAR04006	[5.453322464414043e-05]
MAR04028	[5.453322464414043e-05]
MAR04030	[5.453322464414043e-05]
MAR04670	[5.453322464414043e-05]
MAR04673	[5.453322464414043e-05]
MAR04675	[5.453322464414043e-05]
MAR06614	[5.453322464414043e-05]
MAR06615	[5.453322464414043e-05]
MAR06616	[5.453322464414043e-05]
MAR04635	[5.453322464414043e-05]
MAR03793	[0.00762995585464111]
MAR03931	[3.728206335263105e-05]
MAR03969	[np.float64(9.858754595081572e-05)]
MAR03970	[3.728206335263105e-05]
MAR04008	[4.188352170862891e-05]
MAR04032	[np.float64(9.858754595081572e-05)]
MAR04034	[np.float64(9.858754595081572e-05)]
MAR04036	[np.float64(9.858754595081572e-05)]
MAR04050	[np.float64(9.858754595081572e-05)]
MAR04056	[3.728206335263105e-05]
MAR04059	[7.814251217446359e-05]
MAR04060	[7.814251217446359e-05]
MAR04127	[np.float64(9.858754595081572e-05)]
MAR04177	[3.728206335263105e-05]
MAR04179	[3.728206335263105e-05]
MAR04182	[np.float64(9.858754595081572e-05)]
MAR04183	[0.005165007879767774]
MAR04192	[0.005165007879767774]
MAR04194	[np.float64(9.858754595081572e-05)]
MAR04210	[3.728206335263105e-05]
MAR04211	[np.float64(9.858754595081572e-05)]
MAR04343	[np.float64(9.858754595081572e-05)]
MAR04345	[np.float64(9.858754595081572e-05)]
MAR04346	[np.float64(9.858754595081572e-05)]
MAR04470	[np.float64(9.858754595081572e-05)]
MAR04471	[np.float64(9.858754595081572e-05)]
MAR04472	[np.float64(9.858754595081572e-05)]
MAR04484	[3.728206335263105e-05]
MAR04485	[np.float64(9.858754595081572e-05)]
MAR04510	[3.728206335263105e-05]
MAR04512	[4.188352170862891e-05]
MAR04513	[np.float64(9.858754595081572e-05)]
MAR04514	[np.float64(9.858754595081572e-05)]
MAR04577	[np.float64(9.858754595081572e-05)]
MAR04579	[np.float64(9.858754595081572e-05)]
MAR04580	[np.float64(9.858754595081572e-05)]
MAR04608	[np.float64(9.858754595081572e-05)]
MAR04575	[np.float64(9.858754595081572e-05)]
MAR04637	[np.float64(9.858754595081572e-05)]
MAR04642	[np.float64(9.858754595081572e-05)]
MAR04643	[np.float64(9.858754595081572e-05)]
MAR04644	[np.float64(9.858754595081572e-05)]
MAR04672	[np.float64(9.858754595081572e-05)]
MAR04676	[np.float64(9.858754595081572e-05)]
MAR04736	[0.00762995585464111]
MAR04819	[0.00762995585464111]
MAR05299	[np.float64(9.858754595081572e-05)]
MAR05352	[np.float64(9.858754595081572e-05)]
MAR05415	[3.728206335263105e-05]
MAR05416	[3.728206335263105e-05]
MAR05417	[3.728206335263105e-05]
MAR06612	[np.float64(9.858754595081572e-05)]
MAR06613	[np.float64(9.858754595081572e-05)]
MAR06621	[3.728206335263105e-05]
MAR06622	[3.728206335263105e-05]
MAR06623	[np.float64(9.858754595081572e-05)]
MAR06624	[np.float64(9.858754595081572e-05)]
MAR06627	[3.728206335263105e-05]
MAR07744	[np.float64(9.858754595081572e-05)]
MAR08072	[np.float64(9.858754595081572e-05)]
MAR08637	[np.float64(9.858754595081572e-05)]
MAR03965	[np.float64(9.858754595081572e-05)]
MAR03966	[np.float64(9.858754595081572e-05)]
MAR03967	[4.188352170862891e-05]
MAR03968	[np.float64(9.858754595081572e-05)]
MAR03999	[0.005165007879767774]
MAR04024	[4.188352170862891e-05]
MAR04026	[0.005478283272059059]
MAR04054	[np.float64(9.858754595081572e-05)]
MAR04061	[0.005165007879767774]
MAR04083	[np.float64(9.858754595081572e-05)]
MAR04136	[3.728206335263105e-05]
MAR04180	[np.float64(9.858754595081572e-05)]
MAR04185	[3.728206335263105e-05]
MAR04186	[3.728206335263105e-05]
MAR04342	[7.814251217446359e-05]
MAR04344	[np.float64(9.858754595081572e-05)]
MAR04483	[np.float64(9.858754595081572e-05)]
MAR04507	[3.818211092224567e-05]
MAR04516	[np.float64(9.858754595081572e-05)]
MAR04601	[np.float64(9.858754595081572e-05)]
MAR04633	[np.float64(9.858754595081572e-05)]
MAR04640	[np.float64(9.858754595081572e-05)]
MAR04641	[np.float64(9.858754595081572e-05)]
MAR04680	[np.float64(9.858754595081572e-05)]
MAR04806	[np.float64(9.858754595081572e-05)]
MAR05394	[np.float64(9.858754595081572e-05)]
MAR06625	[np.float64(9.858754595081572e-05)]
MAR06626	[np.float64(9.858754595081572e-05)]
MAR07160	[np.float64(9.858754595081572e-05)]
MAR07161	[3.728206335263105e-05]
MAR07162	[3.728206335263105e-05]
MAR07163	[np.float64(9.858754595081572e-05)]
MAR07164	[np.float64(9.858754595081572e-05)]
MAR07713	[3.728206335263105e-05]
MAR07716	[3.728206335263105e-05]
MAR07717	[3.728206335263105e-05]
MAR07721	[3.728206335263105e-05]
MAR07725	[3.728206335263105e-05]
MAR07728	[3.728206335263105e-05]
MAR07800	[np.float64(9.858754595081572e-05)]
MAR07801	[np.float64(9.858754595081572e-05)]
MAR07802	[np.float64(9.858754595081572e-05)]
MAR07863	[4.188352170862891e-05]
MAR07864	[4.188352170862891e-05]
MAR07865	[4.188352170862891e-05]
MAR07866	[4.188352170862891e-05]
MAR07867	[4.188352170862891e-05]
MAR07868	[4.188352170862891e-05]
MAR07869	[4.188352170862891e-05]
MAR07870	[4.188352170862891e-05]
MAR07871	[4.188352170862891e-05]
MAR07872	[4.188352170862891e-05]
MAR07873	[4.188352170862891e-05]
MAR07874	[4.188352170862891e-05]
MAR07875	[0.005478283272059059]
MAR07876	[4.188352170862891e-05]
MAR07878	[5.453322464414043e-05]
MAR07879	[np.float64(9.858754595081572e-05)]
MAR07880	[np.float64(9.858754595081572e-05)]
MAR07881	[np.float64(9.858754595081572e-05)]
MAR07882	[np.float64(9.858754595081572e-05)]
MAR07883	[5.453322464414043e-05]
MAR07884	[np.float64(9.858754595081572e-05)]
MAR07885	[np.float64(9.858754595081572e-05)]
MAR07886	[5.453322464414043e-05]
MAR07887	[np.float64(9.858754595081572e-05)]
MAR07888	[np.float64(9.858754595081572e-05)]
MAR07889	[np.float64(9.858754595081572e-05)]
MAR07890	[5.453322464414043e-05]
MAR07891	[np.float64(9.858754595081572e-05)]
MAR07892	[np.float64(9.858754595081572e-05)]
MAR07893	[np.float64(9.858754595081572e-05)]
MAR07894	[5.453322464414043e-05]
