reaction	linear_coefficient
MAR04450	[3.876376698494929e-05]
MAR04451	[np.float64(0.00010544374154059859)]
MAR04452	[np.float64(0.00010544374154059859)]
MAR04453	[np.float64(0.00010544374154059859)]
MAR04480	[np.float64(0.00010544374154059859)]
MAR04481	[np.float64(0.00010544374154059859)]
MAR04482	[np.float64(0.00010544374154059859)]
MAR04486	[3.876376698494929e-05]
MAR04487	[3.876376698494929e-05]
MAR04488	[3.876376698494929e-05]
MAR04489	[3.876376698494929e-05]
MAR04492	[3.876376698494929e-05]
MAR04493	[3.876376698494929e-05]
MAR04495	[3.876376698494929e-05]
MAR04496	[3.876376698494929e-05]
MAR04518	[0.007785651957133285]
MAR04519	[np.float64(0.00010544374154059859)]
MAR04520	[np.float64(0.00010544374154059859)]
MAR04573	[3.876376698494929e-05]
MAR04574	[np.float64(0.00010544374154059859)]
MAR04600	[np.float64(0.00010544374154059859)]
MAR04602	[3.876376698494929e-05]
MAR04603	[np.float64(0.00010544374154059859)]
MAR04611	[3.876376698494929e-05]
MAR04612	[3.876376698494929e-05]
MAR04614	[3.876376698494929e-05]
MAR04615	[3.876376698494929e-05]
MAR04617	[3.876376698494929e-05]
MAR04618	[3.876376698494929e-05]
MAR04619	[3.876376698494929e-05]
MAR04621	[3.876376698494929e-05]
MAR04632	[3.876376698494929e-05]
MAR04646	[np.float64(0.00010544374154059859)]
MAR04648	[np.float64(0.00010544374154059859)]
MAR04649	[np.float64(0.00010544374154059859)]
MAR04650	[np.float64(0.00010544374154059859)]
MAR04651	[np.float64(0.00010544374154059859)]
MAR04663	[np.float64(0.00010544374154059859)]
MAR04664	[np.float64(0.00010544374154059859)]
MAR04694	[np.float64(0.00010544374154059859)]
MAR04695	[np.float64(0.00010544374154059859)]
MAR04705	[3.876376698494929e-05]
MAR04709	[np.float64(0.00010544374154059859)]
MAR04799	[np.float64(0.00010544374154059859)]
MAR04802	[np.float64(0.00010544374154059859)]
MAR04804	[np.float64(0.00010544374154059859)]
MAR04808	[np.float64(0.00010544374154059859)]
MAR04810	[np.float64(0.00010544374154059859)]
MAR04812	[np.float64(0.00010544374154059859)]
MAR04814	[7.94601522353356e-05]
MAR05301	[np.float64(0.00010544374154059859)]
MAR05353	[4.691426232821037e-05]
MAR06601	[0.007785651957133285]
MAR06602	[3.876376698494929e-05]
MAR06603	[3.876376698494929e-05]
MAR06605	[np.float64(0.00010544374154059859)]
MAR06606	[np.float64(0.00010544374154059859)]
MAR06607	[np.float64(0.00010544374154059859)]
MAR06609	[np.float64(0.00010544374154059859)]
MAR06610	[np.float64(0.00010544374154059859)]
MAR06611	[np.float64(0.00010544374154059859)]
MAR07144	[np.float64(0.00010544374154059859)]
MAR08755	[np.float64(0.00010544374154059859)]
MAR09797	[np.float64(0.00010544374154059859)]
MAR04016	[np.float64(0.00010544374154059859)]
MAR04018	[np.float64(0.00010544374154059859)]
MAR04044	[np.float64(0.00010544374154059859)]
MAR04291	[np.float64(0.00010544374154059859)]
MAR04420	[np.float64(0.00010544374154059859)]
MAR04570	[np.float64(0.00010544374154059859)]
MAR04572	[np.float64(0.00010544374154059859)]
MAR04006	[np.float64(0.00010544374154059859)]
MAR04028	[np.float64(0.00010544374154059859)]
MAR04030	[np.float64(0.00010544374154059859)]
MAR04670	[np.float64(0.00010544374154059859)]
MAR04673	[np.float64(0.00010544374154059859)]
MAR04675	[np.float64(0.00010544374154059859)]
MAR06614	[np.float64(0.00010544374154059859)]
MAR06615	[np.float64(0.00010544374154059859)]
MAR06616	[np.float64(0.00010544374154059859)]
MAR04635	[np.float64(0.00010544374154059859)]
MAR03793	[0.007948961701127563]
MAR03931	[3.876376698494929e-05]
MAR03969	[np.float64(0.00010544374154059859)]
MAR03970	[3.876376698494929e-05]
MAR04008	[4.222874442787584e-05]
MAR04032	[np.float64(0.00010544374154059859)]
MAR04034	[np.float64(0.00010544374154059859)]
MAR04036	[np.float64(0.00010544374154059859)]
MAR04050	[np.float64(0.00010544374154059859)]
MAR04056	[3.876376698494929e-05]
MAR04059	[np.float64(0.00010544374154059859)]
MAR04060	[np.float64(0.00010544374154059859)]
MAR04127	[np.float64(0.00010544374154059859)]
MAR04177	[3.876376698494929e-05]
MAR04179	[3.876376698494929e-05]
MAR04182	[np.float64(0.00010544374154059859)]
MAR04183	[0.005574581342277725]
MAR04192	[0.005574581342277725]
MAR04194	[np.float64(0.00010544374154059859)]
MAR04210	[3.876376698494929e-05]
MAR04211	[np.float64(0.00010544374154059859)]
MAR04343	[np.float64(0.00010544374154059859)]
MAR04345	[np.float64(0.00010544374154059859)]
MAR04346	[np.float64(0.00010544374154059859)]
MAR04470	[np.float64(0.00010544374154059859)]
MAR04471	[np.float64(0.00010544374154059859)]
MAR04472	[np.float64(0.00010544374154059859)]
MAR04484	[3.876376698494929e-05]
