reaction	linear_coefficient
MAR04331	[np.float64(6.713308228060648e-05)]
MAR04459	[np.float64(6.713308228060648e-05)]
MAR04460	[np.float64(6.713308228060648e-05)]
MAR04464	[8.4310167750605e-05]
MAR04497	[3.7984325592705935e-05]
MAR04741	[np.float64(6.713308228060648e-05)]
MAR08078	[8.4310167750605e-05]
MAR09803	[8.4310167750605e-05]
MAR09804	[np.float64(6.713308228060648e-05)]
MAR00718	[np.float64(6.713308228060648e-05)]
MAR00719	[np.float64(6.713308228060648e-05)]
MAR01434	[np.float64(6.713308228060648e-05)]
MAR01436	[np.float64(6.713308228060648e-05)]
MAR03163	[np.float64(6.713308228060648e-05)]
MAR04461	[np.float64(6.713308228060648e-05)]
MAR04604	[np.float64(6.713308228060648e-05)]
MAR05351	[np.float64(6.713308228060648e-05)]
MAR07709	[np.float64(6.713308228060648e-05)]
MAR04052	[np.float64(6.713308228060648e-05)]
MAR04304	[3.52390203130258e-05]
MAR04350	[0.004214386547489437]
MAR04351	[np.float64(6.713308228060648e-05)]
MAR04352	[np.float64(6.713308228060648e-05)]
MAR04354	[np.float64(6.713308228060648e-05)]
MAR04398	[np.float64(6.713308228060648e-05)]
MAR04404	[3.8660052292240714e-05]
MAR04473	[2.995045955520258e-05]
MAR04474	[2.995045955520258e-05]
MAR04476	[np.float64(6.713308228060648e-05)]
MAR04477	[np.float64(6.713308228060648e-05)]
MAR04501	[3.8660052292240714e-05]
MAR04565	[2.948732197229683e-05]
MAR04567	[3.1248290823254343e-05]
MAR09799	[np.float64(6.713308228060648e-05)]
MAR09800	[np.float64(6.713308228060648e-05)]
MAR04623	[np.float64(6.713308228060648e-05)]
MAR04625	[np.float64(6.713308228060648e-05)]
MAR04710	[np.float64(6.713308228060648e-05)]
MAR04841	[np.float64(6.713308228060648e-05)]
MAR08074	[0.004214386547489437]
MAR08653	[np.float64(6.713308228060648e-05)]
MAR03998	[np.float64(6.713308228060648e-05)]
MAR04000	[np.float64(6.713308228060648e-05)]
MAR04002	[np.float64(6.713308228060648e-05)]
MAR04004	[np.float64(6.713308228060648e-05)]
MAR04010	[np.float64(6.713308228060648e-05)]
MAR04081	[np.float64(6.713308228060648e-05)]
MAR04082	[np.float64(6.713308228060648e-05)]
MAR04012	[np.float64(6.713308228060648e-05)]
MAR04014	[np.float64(6.713308228060648e-05)]
MAR04020	[np.float64(6.713308228060648e-05)]
